date,pr,srad,tmax,tmin,vp,q,basin_id,average_pr,average_q,average_tmax,average_tmin
2007-11-25,0.0,170.86,0.03,-9.17,302.42,1.7,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-11-26,0.0,169.97,5.15,-4.21,449.92,1.55,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-11-27,21.03,106.02,8.41,0.96,651.06,2.62,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-11-28,0.0,183.54,6.79,-4.23,440.0,3.46,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-11-29,0.12,189.16,2.8,-8.73,310.03,3.16,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-11-30,1.06,162.84,4.84,-5.05,425.13,2.89,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-01,0.0,165.93,0.84,-8.06,327.23,2.23,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-02,0.0,156.98,-4.64,-12.64,235.52,1.88,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-03,1.55,131.12,-3.52,-10.02,280.88,1.72,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-04,22.82,104.32,-0.93,-7.04,356.7,1.64,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-05,1.72,208.25,-1.0,-13.33,219.03,1.63,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-06,0.24,204.22,-3.14,-14.08,201.68,1.54,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-07,0.07,226.36,-3.13,-18.16,149.29,1.32,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-08,2.35,190.72,-0.13,-12.11,242.25,1.35,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-09,0.0,214.58,-1.0,-14.33,200.0,1.27,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-10,0.0,180.4,-6.8,-16.07,175.91,1.2,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-11,0.0,201.46,-4.38,-16.16,165.58,1.08,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-12,4.84,154.62,1.02,-11.89,251.25,1.17,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-13,0.0,217.52,0.0,-15.37,189.34,1.11,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-14,4.0,118.02,-7.05,-15.04,190.23,1.08,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-15,0.48,198.26,-3.3,-15.2,199.76,1.06,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
2007-12-16,1.23,181.8,-6.37,-16.76,160.0,1.01,0,3.466871208586094,1.964400373308446,12.243677088194122,0.9029444703686421
